,code,l,L,circuit_type,decoder,noise_model,n_cycles,which_detectors,error_rates,n_errorsamples,n_fail_cutoff,p,n_shots,n_fails,dec_time_per_shot
2715,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,0.00022,1000000,0,1.2885509253e-05
2716,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,0.0006,1000000,18,1.334857885e-05
2717,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,1e-05,1000000,1,1.5413228468999998e-05
2718,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,3e-05,1000000,0,2.3469185365e-05
2719,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,8e-05,1000000,20,4.2931340831e-05
2720,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,1e-05,100000,0,0.00161818602006
2721,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,3e-05,100000,0,0.00477043291842
2722,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,8e-05,100000,0,0.01204844727212
2723,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.00022,100000,2,0.03696876933411
2724,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.0006,100000,11,0.09505046827678
2725,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,100000,1000,1e-05,100000,0,1.000725217e-05
2726,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,100000,1000,3e-05,100000,0,9.35209541e-06
2727,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,100000,1000,8e-05,100000,4,9.9152365e-06
2728,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,100000,1000,0.00022,100000,7,1.012688921e-05
2729,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,100000,1000,0.0006,100000,94,1.057082645e-05
2730,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,100000,1000,0.00167,100000,942,1.165942328e-05
2731,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,100000,1000,0.00464,11582,1000,1.4105660335002591e-05
2732,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,100000,1000,0.01292,2170,1000,1.5663672350230414e-05
2733,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,100000,1000,0.03594,1163,1000,1.3865732588134136e-05
2734,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,100000,1000,0.1,1160,1000,1.260863793103448e-05
